,Suburb,Rooms,Type,Price,Date,Postcode,Regionname,Propertycount,Distance
0,Abbotsford,3,h,1490000,1/04/2017,3067,Northern Metropolitan,4019,3.0
1,Abbotsford,3,h,1220000,1/04/2017,3067,Northern Metropolitan,4019,3.0
2,Abbotsford,3,h,1420000,1/04/2017,3067,Northern Metropolitan,4019,3.0
3,Aberfeldie,3,h,1515000,1/04/2017,3040,Western Metropolitan,1543,7.5
4,Airport West,2,h,670000,1/04/2017,3042,Western Metropolitan,3464,10.4
5,Airport West,2,t,530000,1/04/2017,3042,Western Metropolitan,3464,10.4
6,Airport West,2,u,540000,1/04/2017,3042,Western Metropolitan,3464,10.4
7,Airport West,3,h,715000,1/04/2017,3042,Western Metropolitan,3464,10.4
9,Albert Park,3,h,1925000,1/04/2017,3206,Southern Metropolitan,3280,3.0
10,Albion,3,u,515000,1/04/2017,3020,Western Metropolitan,2185,10.5
11,Albion,4,h,717000,1/04/2017,3020,Western Metropolitan,2185,10.5
12,Alphington,2,h,1675000,1/04/2017,3078,Northern Metropolitan,2211,5.7
13,Alphington,4,h,2008000,1/04/2017,3078,Northern Metropolitan,2211,5.7
14,Altona,2,h,860000,1/04/2017,3018,Western Metropolitan,5301,11.0
16,Altona North,3,h,720000,1/04/2017,3025,Western Metropolitan,5132,9.4
17,Armadale,2,u,836000,1/04/2017,3143,Southern Metropolitan,4836,6.3
18,Armadale,2,h,2110000,1/04/2017,3143,Southern Metropolitan,4836,6.3
19,Armadale,3,h,1386000,1/04/2017,3143,Southern Metropolitan,4836,6.3
20,Armadale,2,u,580000,1/04/2017,3143,Southern Metropolitan,4836,6.3
21,Armadale,1,u,355000,1/04/2017,3143,Southern Metropolitan,4836,6.3
22,Ascot Vale,3,h,1123100,1/04/2017,3032,Western Metropolitan,6567,4.3
23,Ashburton,3,u,1270000,1/04/2017,3147,Southern Metropolitan,3052,10.2
25,Ashburton,3,t,1610000,1/04/2017,3147,Southern Metropolitan,3052,10.2
26,Ashwood,4,h,1435000,1/04/2017,3147,Southern Metropolitan,2894,10.2
27,Aspendale,4,h,1431000,1/04/2017,3195,South-Eastern Metropolitan,2824,21.5
28,Aspendale Gardens,4,h,996000,1/04/2017,3195,South-Eastern Metropolitan,2243,21.5
30,Avondale Heights,4,h,825000,1/04/2017,3034,Western Metropolitan,4502,9.5
31,Balwyn,2,u,660800,1/04/2017,3103,Southern Metropolitan,5682,7.9
32,Balwyn,2,t,700000,1/04/2017,3103,Southern Metropolitan,5682,7.9
33,Balwyn,5,h,2700000,1/04/2017,3103,Southern Metropolitan,5682,7.9
34,Balwyn,3,h,2035000,1/04/2017,3103,Southern Metropolitan,5682,7.9
35,Balwyn,3,u,955000,1/04/2017,3103,Southern Metropolitan,5682,7.9
36,Balwyn,4,h,1810000,1/04/2017,3103,Southern Metropolitan,5682,7.9
37,Balwyn North,4,h,1850000,1/04/2017,3104,Southern Metropolitan,7809,9.7
39,Balwyn North,4,h,2600000,1/04/2017,3104,Southern Metropolitan,7809,9.7
40,Balwyn North,3,h,1220000,1/04/2017,3104,Southern Metropolitan,7809,9.7
41,Balwyn North,4,h,2470000,1/04/2017,3104,Southern Metropolitan,7809,9.7
43,Balwyn North,2,u,800000,1/04/2017,3104,Southern Metropolitan,7809,9.7
44,Bayswater North,4,h,880000,1/04/2017,3153,Eastern Metropolitan,3598,23.2
45,Beaumaris,4,h,1285000,1/04/2017,3193,Southern Metropolitan,5366,17.3
46,Beaumaris,2,u,835000,1/04/2017,3193,Southern Metropolitan,5366,17.3
47,Beaumaris,4,h,1445000,1/04/2017,3193,Southern Metropolitan,5366,17.3
49,Beaumaris,4,h,1435000,1/04/2017,3193,Southern Metropolitan,5366,17.3
50,Bellfield,3,u,675000,1/04/2017,3081,Eastern Metropolitan,790,8.8
51,Bentleigh,4,t,1300000,1/04/2017,3204,Southern Metropolitan,6795,11.4
52,Bentleigh,4,t,1500000,1/04/2017,3204,Southern Metropolitan,6795,11.4
53,Bentleigh,3,h,1340000,1/04/2017,3204,Southern Metropolitan,6795,11.4
55,Bentleigh East,3,h,1400000,1/04/2017,3165,Southern Metropolitan,10969,13.8
57,Bentleigh East,2,t,775000,1/04/2017,3165,Southern Metropolitan,10969,13.8
58,Bentleigh East,3,t,920000,1/04/2017,3165,Southern Metropolitan,10969,13.8
59,Bentleigh East,2,h,1220000,1/04/2017,3165,Southern Metropolitan,10969,13.8
60,Bentleigh East,2,h,1130000,1/04/2017,3165,Southern Metropolitan,10969,13.8
61,Bentleigh East,4,h,1460000,1/04/2017,3165,Southern Metropolitan,10969,13.8
63,Black Rock,4,h,3000000,1/04/2017,3193,Southern Metropolitan,2866,17.3
64,Blackburn,4,h,1200000,1/04/2017,3130,Eastern Metropolitan,5713,13.4
65,Blackburn,4,h,1410000,1/04/2017,3130,Eastern Metropolitan,5713,13.4
