,Suburb,Rooms,Type,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longtitude,ParkingArea,Price
1,Airport West,3,t,3/9/2016,13.5,3042,3,2,1,303,-37.718,144.878,Detached Garage,840000
2,Albert Park,2,h,3/9/2016,3.3,3206,2,1,0,120,-37.8459,144.9555,Attached Garage,1275000
3,Albert Park,2,h,3/9/2016,3.3,3206,2,1,0,159,-37.845,144.9538,Indoor,1455000
5,Alphington,4,h,3/9/2016,6.4,3078,3,2,4,853,-37.7707,145.0318,Underground,2000000
6,Alphington,3,h,3/9/2016,6.4,3078,3,2,2,208,-37.7854,145.0325,Outdoor Stall,1110000
7,Altona,3,h,3/9/2016,13.8,3018,3,2,1,352,-37.87,144.825,Parking Pad,520000
9,Altona North,5,h,3/9/2016,11.1,3025,5,3,6,592,-37.8388,144.8567,Detached Garage,1085000
10,Altona North,3,h,3/9/2016,11.1,3025,3,1,2,533,-37.8291,144.835,Attached Garage,781000
13,Armadale,2,u,3/9/2016,6.3,3143,2,1,1,0,-37.8543,145.0262,Underground,599000
15,Ascot Vale,2,u,3/9/2016,5.9,3032,3,1,2,0,-37.7756,144.9165,Detached Garage,455000
16,Ashburton,4,h,3/9/2016,11.0,3147,4,3,2,753,-37.8669,145.0767,Attached Garage,2650000
19,Ashwood,2,h,3/9/2016,12.2,3147,2,1,1,583,-37.8693,145.1082,Carport,995000
21,Avondale Heights,3,h,3/9/2016,10.5,3034,3,1,1,593,-37.7677,144.8674,Attached Garage,850000
22,Avondale Heights,3,h,3/9/2016,10.5,3034,3,1,1,0,-37.7634,144.8611,Indoor,750000
23,Balaclava,4,h,3/9/2016,6.6,3183,3,2,1,244,-37.8668,144.9928,Parkade,1819000
25,Balwyn,2,h,3/9/2016,9.7,3103,2,1,1,659,-37.8094,145.0807,Outdoor Stall,2100000
26,Balwyn,4,h,3/9/2016,9.7,3103,4,2,2,715,-37.811,145.0958,Carport,1800000
27,Balwyn,2,t,3/9/2016,9.7,3103,2,1,1,208,-37.8128,145.0975,Detached Garage,1255000
28,Balwyn North,3,t,3/9/2016,9.2,3104,3,2,2,260,-37.7966,145.1021,Attached Garage,1315000
29,Balwyn North,3,h,3/9/2016,9.2,3104,3,2,1,778,-37.7939,145.0789,Indoor,1500000
30,Balwyn North,4,h,3/9/2016,9.2,3104,4,4,3,1135,-37.8014,145.0892,Parkade,3230000
31,Balwyn North,2,h,3/9/2016,9.2,3104,2,1,1,253,-37.7912,145.085,Carport,1080000
34,Bentleigh,2,u,3/9/2016,13.0,3204,2,1,2,202,-37.9165,145.0259,Indoor,636000
35,Bentleigh,2,h,3/9/2016,13.0,3204,2,1,2,599,-37.925,145.046,Parkade,1275000
36,Bentleigh,3,u,3/9/2016,13.0,3204,3,1,2,348,-37.9273,145.0479,Carport,875000
38,Bentleigh,3,t,3/9/2016,13.0,3204,3,2,2,362,-37.9336,145.043,Attached Garage,895000
42,Bentleigh East,2,h,3/9/2016,13.9,3165,2,1,2,768,-37.9305,145.0547,Indoor,1410000
45,Bentleigh East,3,t,3/9/2016,13.9,3165,3,1,2,287,-37.9261,145.0566,Outdoor Stall,760000
46,Bentleigh East,2,h,3/9/2016,13.9,3165,2,2,1,176,-37.9237,145.0763,Carport,825000
47,Box Hill,4,h,3/9/2016,13.1,3128,4,2,2,697,-37.8151,145.135,Detached Garage,1620000
49,Braybrook,3,h,3/9/2016,10.8,3019,3,2,4,700,-37.7824,144.8469,Indoor,870000
50,Braybrook,2,h,3/9/2016,10.8,3019,2,1,1,566,-37.7839,144.8524,Carport,645000
51,Brighton,3,h,3/9/2016,11.2,3186,3,2,2,663,-37.9159,145.0068,Detached Garage,1550000
53,Brighton,3,h,3/9/2016,11.2,3186,3,1,2,366,-37.9038,145.0001,Indoor,1635000
55,Brighton East,4,h,3/9/2016,10.7,3187,4,2,2,682,-37.9205,145.0122,Carport,1940000
57,Brighton East,4,h,3/9/2016,10.7,3187,4,2,2,617,-37.9187,145.007,Attached Garage,1850000
60,Brighton East,3,h,3/9/2016,10.7,3187,3,1,1,329,-37.9317,145.0218,Detached Garage,930000
63,Brunswick,2,u,3/9/2016,5.2,3056,2,1,2,0,-37.7593,144.9652,Parkade,428000
64,Brunswick,2,h,3/9/2016,5.2,3056,2,1,0,225,-37.7676,144.9665,Underground,1026000
65,Brunswick West,2,u,3/9/2016,5.9,3055,2,1,1,0,-37.768,144.9408,Outdoor Stall,521500
66,Bulleen,3,u,3/9/2016,11.8,3105,3,1,2,385,-37.7599,145.0849,Parking Pad,851000
67,Bulleen,4,h,3/9/2016,11.8,3105,4,1,2,717,-37.7608,145.0862,Carport,1300000
