,Date,Suburb,Postcode,Distance,Type,Rooms,Price
0,1/04/2017,Abbotsford,3067,3.0,h,3,1490000
1,1/04/2017,Abbotsford,3067,3.0,h,3,1220000
2,1/04/2017,Abbotsford,3067,3.0,h,3,1420000
3,1/04/2017,Aberfeldie,3040,7.5,h,3,1515000
4,1/04/2017,Airport West,3042,10.4,h,2,670000
5,1/04/2017,Airport West,3042,10.4,t,2,530000
6,1/04/2017,Airport West,3042,10.4,u,2,540000
7,1/04/2017,Airport West,3042,10.4,h,3,715000
9,1/04/2017,Albert Park,3206,3.0,h,3,1925000
10,1/04/2017,Albion,3020,10.5,u,3,515000
11,1/04/2017,Albion,3020,10.5,h,4,717000
12,1/04/2017,Alphington,3078,5.7,h,2,1675000
13,1/04/2017,Alphington,3078,5.7,h,4,2008000
14,1/04/2017,Altona,3018,11.0,h,2,860000
16,1/04/2017,Altona North,3025,9.4,h,3,720000
17,1/04/2017,Armadale,3143,6.3,u,2,836000
18,1/04/2017,Armadale,3143,6.3,h,2,2110000
19,1/04/2017,Armadale,3143,6.3,h,3,1386000
20,1/04/2017,Armadale,3143,6.3,u,2,580000
21,1/04/2017,Armadale,3143,6.3,u,1,355000
22,1/04/2017,Ascot Vale,3032,4.3,h,3,1123100
23,1/04/2017,Ashburton,3147,10.2,u,3,1270000
25,1/04/2017,Ashburton,3147,10.2,t,3,1610000
26,1/04/2017,Ashwood,3147,10.2,h,4,1435000
27,1/04/2017,Aspendale,3195,21.5,h,4,1431000
28,1/04/2017,Aspendale Gardens,3195,21.5,h,4,996000
30,1/04/2017,Avondale Heights,3034,9.5,h,4,825000
31,1/04/2017,Balwyn,3103,7.9,u,2,660800
32,1/04/2017,Balwyn,3103,7.9,t,2,700000
33,1/04/2017,Balwyn,3103,7.9,h,5,2700000
34,1/04/2017,Balwyn,3103,7.9,h,3,2035000
35,1/04/2017,Balwyn,3103,7.9,u,3,955000
36,1/04/2017,Balwyn,3103,7.9,h,4,1810000
37,1/04/2017,Balwyn North,3104,9.7,h,4,1850000
39,1/04/2017,Balwyn North,3104,9.7,h,4,2600000
40,1/04/2017,Balwyn North,3104,9.7,h,3,1220000
41,1/04/2017,Balwyn North,3104,9.7,h,4,2470000
43,1/04/2017,Balwyn North,3104,9.7,u,2,800000
44,1/04/2017,Bayswater North,3153,23.2,h,4,880000
45,1/04/2017,Beaumaris,3193,17.3,h,4,1285000
46,1/04/2017,Beaumaris,3193,17.3,u,2,835000
47,1/04/2017,Beaumaris,3193,17.3,h,4,1445000
49,1/04/2017,Beaumaris,3193,17.3,h,4,1435000
50,1/04/2017,Bellfield,3081,8.8,u,3,675000
51,1/04/2017,Bentleigh,3204,11.4,t,4,1300000
52,1/04/2017,Bentleigh,3204,11.4,t,4,1500000
53,1/04/2017,Bentleigh,3204,11.4,h,3,1340000
55,1/04/2017,Bentleigh East,3165,13.8,h,3,1400000
57,1/04/2017,Bentleigh East,3165,13.8,t,2,775000
58,1/04/2017,Bentleigh East,3165,13.8,t,3,920000
59,1/04/2017,Bentleigh East,3165,13.8,h,2,1220000
60,1/04/2017,Bentleigh East,3165,13.8,h,2,1130000
61,1/04/2017,Bentleigh East,3165,13.8,h,4,1460000
63,1/04/2017,Black Rock,3193,17.3,h,4,3000000
64,1/04/2017,Blackburn,3130,13.4,h,4,1200000
65,1/04/2017,Blackburn,3130,13.4,h,4,1410000
66,1/04/2017,Blackburn,3130,13.4,h,3,1110000
67,1/04/2017,Blackburn North,3130,13.4,h,4,960000
68,1/04/2017,Blackburn North,3130,13.4,h,5,1090000
69,1/04/2017,Blackburn South,3130,13.4,h,3,980000
71,1/04/2017,Blackburn South,3130,13.4,h,4,1925000
72,1/04/2017,Blackburn South,3130,13.4,u,3,710000
73,1/04/2017,Bonbeach,3196,27.0,h,4,985000
75,1/04/2017,Box Hill,3128,10.9,u,2,420000
76,1/04/2017,Braybrook,3019,8.6,h,3,500500
77,1/04/2017,Braybrook,3019,8.6,h,2,490000
78,1/04/2017,Braybrook,3019,8.6,t,2,500000
82,1/04/2017,Brighton,3186,10.5,h,4,2250000
87,1/04/2017,Brighton East,3187,10.3,h,3,1958000
88,1/04/2017,Brighton East,3187,10.3,h,4,2137000
90,1/04/2017,Brighton East,3187,10.3,h,4,2975000
92,1/04/2017,Broadmeadows,3047,14.0,h,3,457000
94,1/04/2017,Brunswick,3056,5.2,h,2,740000
96,1/04/2017,Brunswick,3056,5.2,h,3,900000
97,1/04/2017,Brunswick,3056,5.2,h,4,1250000
99,1/04/2017,Brunswick,3056,5.2,h,2,1225000
100,1/04/2017,Brunswick,3056,5.2,h,3,1120000
101,1/04/2017,Brunswick,3056,5.2,t,2,560000
102,1/04/2017,Brunswick,3056,5.2,h,3,1685000
103,1/04/2017,Brunswick,3056,5.2,u,2,625000
104,1/04/2017,Brunswick East,3057,4.0,h,3,1470000
105,1/04/2017,Brunswick East,3057,4.0,h,2,860000
106,1/04/2017,Brunswick West,3055,5.2,t,3,900000
107,1/04/2017,Brunswick West,3055,5.2,u,2,398000
108,1/04/2017,Brunswick West,3055,5.2,h,2,576000
109,1/04/2017,Brunswick West,3055,5.2,h,4,1400000
111,1/04/2017,Brunswick West,3055,5.2,h,3,850000
112,1/04/2017,Bulleen,3105,10.8,h,4,1150000
113,1/04/2017,Bundoora,3083,12.1,t,2,525000
114,1/04/2017,Bundoora,3083,12.1,h,4,740000
115,1/04/2017,Bundoora,3083,12.1,u,2,340000
116,1/04/2017,Burwood,3125,10.4,h,5,1265000
117,1/04/2017,Burwood,3125,10.4,h,3,1000000
118,1/04/2017,Burwood East,3151,14.7,t,4,1460000
119,1/04/2017,Burwood East,3151,14.7,t,4,1200000
120,1/04/2017,Burwood East,3151,14.7,h,4,935000
121,1/04/2017,Burwood East,3151,14.7,u,3,780000
122,1/04/2017,Camberwell,3124,7.7,u,2,868000
123,1/04/2017,Camberwell,3124,7.7,t,3,1375000
124,1/04/2017,Camberwell,3124,7.7,h,2,1235000
125,1/04/2017,Camberwell,3124,7.7,h,3,1510000
126,1/04/2017,Camberwell,3124,7.7,h,3,1520000
127,1/04/2017,Camberwell,3124,7.7,u,2,835000
128,1/04/2017,Camberwell,3124,7.7,u,2,495000
130,1/04/2017,Camberwell,3124,7.7,h,4,2100500
131,1/04/2017,Canterbury,3126,8.4,h,5,3300000
133,1/04/2017,Carlton North,3054,3.5,h,2,1470000
134,1/04/2017,Carlton North,3054,3.5,h,3,2410000
135,1/04/2017,Carnegie,3163,10.1,h,4,1775000
137,1/04/2017,Carnegie,3163,10.1,u,1,295000
138,1/04/2017,Caroline Springs,3023,14.8,h,4,629000
139,1/04/2017,Caroline Springs,3023,14.8,t,2,406000
140,1/04/2017,Carrum,3197,31.2,h,3,825000
141,1/04/2017,Carrum Downs,3201,34.9,h,4,581500
142,1/04/2017,Caulfield East,3145,8.4,h,3,1400000
145,1/04/2017,Caulfield South,3162,8.7,h,3,1538000
146,1/04/2017,Chadstone,3148,11.7,h,3,1354000
147,1/04/2017,Chelsea,3196,27.0,u,3,886000
150,1/04/2017,Clayton,3168,16.7,h,7,4000000
151,1/04/2017,Clayton,3168,16.7,t,4,1010000
152,1/04/2017,Clayton,3168,16.7,t,2,697500
154,1/04/2017,Clayton South,3169,17.5,h,3,800000
156,1/04/2017,Clifton Hill,3068,3.6,h,3,1805000
157,1/04/2017,Clifton Hill,3068,3.6,h,3,1400000
158,1/04/2017,Coburg,3058,6.7,h,3,1032500
159,1/04/2017,Coburg,3058,6.7,h,3,1070000
160,1/04/2017,Coburg,3058,6.7,h,3,1005000
161,1/04/2017,Coburg,3058,6.7,h,2,905000
162,1/04/2017,Coburg,3058,6.7,u,2,412000
163,1/04/2017,Coburg,3058,6.7,u,1,333000
164,1/04/2017,Coburg,3058,6.7,h,2,797500
165,1/04/2017,Coburg,3058,6.7,u,2,430000
166,1/04/2017,Coburg North,3058,6.7,t,2,490000
167,1/04/2017,Coburg North,3058,6.7,h,4,960000
169,1/04/2017,Collingwood,3066,2.0,u,2,960000
170,1/04/2017,Craigieburn,3064,20.6,h,3,356500
172,1/04/2017,Craigieburn,3064,20.6,h,4,580500
173,1/04/2017,Craigieburn,3064,20.6,h,3,573000
174,1/04/2017,Craigieburn,3064,20.6,h,4,475000
175,1/04/2017,Craigieburn,3064,20.6,t,3,385000
177,1/04/2017,Cranbourne North,3977,34.7,h,3,475000
178,1/04/2017,Croydon,3136,23.0,t,3,744000
181,1/04/2017,Croydon,3136,23.0,h,3,746000
182,1/04/2017,Croydon,3136,23.0,h,3,965000
183,1/04/2017,Dallas,3047,14.0,h,3,455500
184,1/04/2017,Dandenong,3175,24.7,h,3,800000
185,1/04/2017,Dandenong,3175,24.7,h,3,610000
187,1/04/2017,Dandenong North,3175,24.7,u,2,307000
189,1/04/2017,Deepdene,3103,7.9,h,2,1610000
190,1/04/2017,Deer Park,3023,14.8,h,5,589000
191,1/04/2017,Deer Park,3023,14.8,h,4,603000
192,1/04/2017,Delahey,3037,18.0,h,3,335000
193,1/04/2017,Diamond Creek,3089,21.8,h,4,730000
