,Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longtitude
1,Abbotsford,2,h,1480000,03/12/2016,2.5,3067,2.0,1.0,1.0,202.0,-37.7996,144.9984
2,Abbotsford,2,h,1035000,04/02/2016,2.5,3067,2.0,1.0,0.0,156.0,-37.8079,144.9934
4,Abbotsford,3,h,1465000,04/03/2017,2.5,3067,3.0,2.0,0.0,134.0,-37.8093,144.9944
5,Abbotsford,3,h,850000,04/03/2017,2.5,3067,3.0,2.0,1.0,94.0,-37.7969,144.9969
6,Abbotsford,4,h,1600000,04/06/2016,2.5,3067,3.0,1.0,2.0,120.0,-37.8072,144.9941
10,Abbotsford,2,h,941000,07/05/2016,2.5,3067,2.0,1.0,0.0,181.0,-37.8041,144.9953
11,Abbotsford,3,h,1876000,07/05/2016,2.5,3067,4.0,2.0,0.0,245.0,-37.8024,144.9993
14,Abbotsford,2,h,1636000,08/10/2016,2.5,3067,2.0,1.0,2.0,256.0,-37.806,144.9954
17,Abbotsford,1,u,300000,08/10/2016,2.5,3067,1.0,1.0,1.0,0.0,-37.8008,144.9973
18,Abbotsford,2,h,1097000,08/10/2016,2.5,3067,3.0,1.0,2.0,220.0,-37.801,144.9989
23,Abbotsford,2,u,700000,12/11/2016,2.5,3067,2.0,2.0,1.0,0.0,-37.811,145.0067
24,Abbotsford,3,h,1350000,12/11/2016,2.5,3067,3.0,2.0,2.0,214.0,-37.8085,144.9964
25,Abbotsford,2,u,750000,12/11/2016,2.5,3067,2.0,2.0,1.0,0.0,-37.8078,144.9965
28,Abbotsford,2,h,1172500,13/08/2016,2.5,3067,2.0,1.0,1.0,195.0,-37.8084,144.9973
29,Abbotsford,1,u,441000,14/05/2016,2.5,3067,1.0,1.0,1.0,0.0,-37.8016,144.9988
30,Abbotsford,2,h,1310000,15/10/2016,2.5,3067,2.0,1.0,2.0,238.0,-37.809,144.9976
32,Abbotsford,3,h,1200000,16/07/2016,2.5,3067,3.0,2.0,1.0,113.0,-37.8056,144.993
35,Abbotsford,3,h,1176500,16/07/2016,2.5,3067,2.0,1.0,1.0,138.0,-37.8021,144.9965
36,Abbotsford,3,h,955000,17/09/2016,2.5,3067,3.0,1.0,0.0,183.0,-37.8022,144.9975
37,Abbotsford,2,h,890000,17/09/2016,2.5,3067,2.0,1.0,1.0,150.0,-37.8011,145.0004
38,Abbotsford,4,h,1330000,18/03/2017,2.5,3067,4.0,2.0,2.0,780.0,-37.8073,144.9952
40,Abbotsford,3,t,900000,18/03/2017,2.5,3067,3.0,2.0,2.0,0.0,-37.8093,144.9959
41,Abbotsford,3,u,1090000,18/03/2017,2.5,3067,3.0,2.0,2.0,4290.0,-37.8078,144.9965
42,Abbotsford,2,u,500000,18/06/2016,2.5,3067,2.0,1.0,1.0,0.0,-37.8015,144.9972
43,Abbotsford,2,h,1100000,18/06/2016,2.5,3067,2.0,2.0,1.0,124.0,-37.8079,144.9977
44,Abbotsford,2,h,1315000,19/11/2016,2.5,3067,2.0,1.0,0.0,147.0,-37.808,144.994
48,Abbotsford,1,u,426000,22/08/2016,2.5,3067,1.0,1.0,1.0,0.0,-37.8016,144.9988
49,Abbotsford,3,h,1447500,22/08/2016,2.5,3067,3.0,3.0,1.0,166.0,-37.8017,145.0001
50,Abbotsford,1,u,457000,22/08/2016,2.5,3067,1.0,1.0,1.0,0.0,-37.8078,144.9965
51,Abbotsford,2,h,1135000,22/08/2016,2.5,3067,2.0,2.0,2.0,98.0,-37.8005,144.9952
53,Abbotsford,4,h,1542000,24/09/2016,2.5,3067,4.0,3.0,1.0,0.0,-37.7994,144.9965
55,Abbotsford,3,h,1290000,25/02/2017,2.5,3067,3.0,2.0,2.0,147.0,-37.805,144.9943
56,Abbotsford,3,h,1290000,25/02/2017,2.5,3067,3.0,1.0,1.0,168.0,-37.8007,144.9958
57,Abbotsford,1,u,470000,26/07/2016,2.5,3067,1.0,1.0,1.0,0.0,-37.8055,144.9961
58,Abbotsford,2,h,1180000,27/11/2016,2.5,3067,2.0,1.0,0.0,162.0,-37.8016,144.9956
59,Abbotsford,3,h,1195000,27/11/2016,2.5,3067,3.0,2.0,1.0,120.0,-37.8022,144.9954
61,Abbotsford,2,h,1012500,28/05/2016,2.5,3067,2.0,1.0,0.0,182.0,-37.8021,144.9976
63,Abbotsford,2,h,1030000,30/07/2016,2.5,3067,2.0,1.0,1.0,172.0,-37.8086,144.9946
66,Airport West,3,t,840000,03/09/2016,13.5,3042,3.0,2.0,1.0,303.0,-37.718,144.878
67,Airport West,3,h,730000,03/12/2016,13.5,3042,3.0,2.0,1.0,0.0,-37.7203,144.8755
68,Airport West,3,h,770000,04/03/2017,13.5,3042,3.0,2.0,1.0,0.0,-37.7203,144.8755
70,Airport West,2,h,603000,04/03/2017,13.5,3042,2.0,1.0,1.0,272.0,-37.7294,144.888
71,Airport West,3,t,700000,04/03/2017,13.5,3042,3.0,2.0,2.0,239.0,-37.7218,144.8837
72,Airport West,3,h,600000,04/03/2017,13.5,3042,2.0,1.0,1.0,290.0,-37.7273,144.8744
73,Airport West,2,u,500000,04/03/2017,13.5,3042,2.0,1.0,1.0,168.0,-37.7215,144.8864
79,Airport West,3,h,720000,06/08/2016,13.5,3042,2.0,1.0,1.0,620.0,-37.7173,144.8872
80,Airport West,4,h,785000,06/08/2016,13.5,3042,3.0,1.0,2.0,597.0,-37.7259,144.8792
81,Airport West,6,h,725000,07/05/2016,13.5,3042,6.0,3.0,2.0,976.0,-37.7239,144.8735
82,Airport West,2,t,450000,07/05/2016,13.5,3042,2.0,1.0,1.0,110.0,-37.7216,144.871
83,Airport West,2,u,515000,07/11/2016,13.5,3042,2.0,1.0,1.0,141.0,-37.7298,144.8883
85,Airport West,2,u,530000,10/09/2016,13.5,3042,2.0,1.0,1.0,120.0,-37.7234,144.8792
86,Airport West,3,h,895000,10/09/2016,13.5,3042,3.0,1.0,6.0,1063.0,-37.7249,144.8728
88,Airport West,3,h,805000,10/12/2016,13.5,3042,3.0,1.0,1.0,0.0,-37.7217,144.8783
90,Airport West,3,u,752000,11/02/2017,13.5,3042,3.0,1.0,1.0,265.0,-37.7302,144.8855
94,Airport West,2,u,440000,13/08/2016,13.5,3042,2.0,1.0,1.0,192.0,-37.7177,144.8787
96,Airport West,5,h,755000,14/05/2016,13.5,3042,3.0,2.0,2.0,596.0,-37.7248,144.8699
98,Airport West,3,t,700000,15/10/2016,13.5,3042,3.0,2.0,2.0,165.0,-37.727,144.887
100,Airport West,3,h,830000,16/04/2016,13.5,3042,3.0,1.0,2.0,971.0,-37.7186,144.876
101,Airport West,2,u,462500,16/07/2016,13.5,3042,2.0,1.0,1.0,164.0,-37.7218,144.8863
102,Airport West,3,h,670000,16/07/2016,13.5,3042,3.0,2.0,2.0,657.0,-37.7269,144.8742
103,Airport West,2,h,675000,16/07/2016,13.5,3042,2.0,1.0,1.0,612.0,-37.7187,144.8765
104,Airport West,3,h,1042000,16/07/2016,13.5,3042,3.0,2.0,5.0,612.0,-37.7173,144.8796
105,Airport West,3,h,910000,17/09/2016,13.5,3042,3.0,1.0,1.0,775.0,-37.7231,144.8835
106,Airport West,4,h,773000,17/09/2016,13.5,3042,5.0,3.0,4.0,531.0,-37.7263,144.8679
108,Airport West,3,h,810000,18/03/2017,13.5,3042,3.0,3.0,2.0,555.0,-37.7285,144.8694
109,Airport West,3,h,715000,18/03/2017,13.5,3042,3.0,2.0,2.0,422.0,-37.7164,144.8792
110,Airport West,3,h,790000,18/03/2017,13.5,3042,3.0,1.0,3.0,614.0,-37.7194,144.8827
112,Airport West,3,t,540000,18/06/2016,13.5,3042,2.0,2.0,1.0,161.0,-37.7231,144.8802
113,Airport West,3,t,825000,19/11/2016,13.5,3042,3.0,2.0,1.0,293.0,-37.72,144.8776
114,Airport West,3,h,685000,22/05/2016,13.5,3042,3.0,1.0,1.0,579.0,-37.7226,144.8733
116,Airport West,3,h,805000,22/08/2016,13.5,3042,3.0,1.0,1.0,623.0,-37.7184,144.882
117,Airport West,2,u,510000,22/08/2016,13.5,3042,2.0,1.0,1.0,141.0,-37.7202,144.8797
118,Airport West,3,h,612000,22/08/2016,13.5,3042,3.0,2.0,1.0,212.0,-37.7181,144.8824
119,Airport West,3,h,662000,23/04/2016,13.5,3042,3.0,1.0,2.0,612.0,-37.7169,144.8815
120,Airport West,4,h,978000,24/09/2016,13.5,3042,4.0,3.0,2.0,532.0,-37.7263,144.869
122,Airport West,3,h,720000,25/02/2017,13.5,3042,3.0,1.0,1.0,585.0,-37.72,144.878
128,Airport West,4,h,765000,27/11/2016,13.5,3042,4.0,1.0,2.0,509.0,-37.7261,144.8785
129,Airport West,4,h,900000,27/11/2016,13.5,3042,4.0,2.0,3.0,628.0,-37.7256,144.8739
133,Albert Park,2,h,1275000,03/09/2016,3.3,3206,2.0,1.0,0.0,120.0,-37.8459,144.9555
134,Albert Park,2,h,1455000,03/09/2016,3.3,3206,2.0,1.0,0.0,159.0,-37.845,144.9538
135,Albert Park,3,h,2850000,04/03/2017,3.3,3206,3.0,2.0,0.0,211.0,-37.8481,144.9499
136,Albert Park,3,h,1850000,04/03/2017,3.3,3206,3.0,2.0,0.0,128.0,-37.8452,144.9488
138,Albert Park,2,h,1436000,04/03/2017,3.3,3206,2.0,1.0,0.0,130.0,-37.8431,144.9565
140,Albert Park,2,h,1110000,06/08/2016,3.3,3206,1.0,1.0,0.0,147.0,-37.8444,144.9484
141,Albert Park,2,h,1550000,07/05/2016,3.3,3206,2.0,1.0,1.0,167.0,-37.8405,144.9521
142,Albert Park,4,h,2300000,07/05/2016,3.3,3206,4.0,2.0,1.0,153.0,-37.8447,144.9523
144,Albert Park,3,t,1550000,07/11/2016,3.3,3206,3.0,2.0,2.0,718.0,-37.8443,144.9598
145,Albert Park,3,h,1800000,07/11/2016,3.3,3206,3.0,2.0,1.0,132.0,-37.8415,144.952
147,Albert Park,2,h,2120000,10/09/2016,3.3,3206,2.0,1.0,1.0,199.0,-37.8422,144.9554
148,Albert Park,3,h,1800000,10/09/2016,3.3,3206,3.0,1.0,1.0,253.0,-37.8443,144.9579
149,Albert Park,3,h,1800000,10/09/2016,3.3,3206,3.0,2.0,1.0,90.0,-37.8421,144.9571
151,Albert Park,2,h,1810000,10/12/2016,3.3,3206,2.0,1.0,0.0,240.0,-37.8379,144.9539
152,Albert Park,3,h,2615000,10/12/2016,3.3,3206,3.0,2.0,1.0,177.0,-37.8415,144.9585
153,Albert Park,5,h,2100000,10/12/2016,3.3,3206,5.0,2.0,1.0,237.0,-37.8436,144.9557
154,Albert Park,3,h,1300000,10/12/2016,3.3,3206,3.0,1.0,0.0,129.0,-37.8422,144.949
155,Albert Park,3,h,1370000,12/06/2016,3.3,3206,3.0,2.0,2.0,0.0,-37.8451,144.9511
156,Albert Park,2,h,1000000,12/11/2016,3.3,3206,2.0,1.0,0.0,288.0,-37.8407,144.9523
158,Albert Park,3,h,2575000,15/10/2016,3.3,3206,3.0,2.0,1.0,228.0,-37.8445,144.9501
159,Albert Park,2,h,1322500,15/10/2016,3.3,3206,2.0,1.0,0.0,149.0,-37.8443,144.9481
161,Albert Park,2,h,1562500,15/10/2016,3.3,3206,2.0,1.0,0.0,141.0,-37.8424,144.9562
162,Albert Park,3,h,2000000,16/04/2016,3.3,3206,3.0,2.0,1.0,211.0,-37.847,144.9575
165,Albert Park,3,h,1900000,18/03/2017,3.3,3206,3.0,1.0,0.0,209.0,-37.8468,144.9546
166,Albert Park,3,h,3010000,18/03/2017,3.3,3206,3.0,2.0,0.0,147.0,-37.8473,144.9551
168,Albert Park,4,h,2800000,18/06/2016,3.3,3206,4.0,3.0,1.0,327.0,-37.8467,144.9475
170,Albert Park,2,u,647000,22/05/2016,3.3,3206,2.0,1.0,1.0,0.0,-37.846,144.9542
172,Albert Park,3,h,2100000,23/04/2016,3.3,3206,2.0,1.0,1.0,120.0,-37.8427,144.9546
