,Date,Suburb,Postcode,Latitude,Longtitude,Distance,Type,Rooms,Bedroom,Bathroom,Car,Landsize,Price
1,3/12/2016,Abbotsford,3067,-37.7996,144.9984,2.5,h,2,2,1,1,202,1480000
2,4/02/2016,Abbotsford,3067,-37.8079,144.9934,2.5,h,2,2,1,0,156,1035000
4,4/03/2017,Abbotsford,3067,-37.8093,144.9944,2.5,h,3,3,2,0,134,1465000
5,4/03/2017,Abbotsford,3067,-37.7969,144.9969,2.5,h,3,3,2,1,94,850000
6,4/06/2016,Abbotsford,3067,-37.8072,144.9941,2.5,h,4,3,1,2,120,1600000
10,7/05/2016,Abbotsford,3067,-37.8041,144.9953,2.5,h,2,2,1,0,181,941000
11,7/05/2016,Abbotsford,3067,-37.8024,144.9993,2.5,h,3,4,2,0,245,1876000
14,8/10/2016,Abbotsford,3067,-37.806,144.9954,2.5,h,2,2,1,2,256,1636000
17,8/10/2016,Abbotsford,3067,-37.8008,144.9973,2.5,u,1,1,1,1,0,300000
18,8/10/2016,Abbotsford,3067,-37.801,144.9989,2.5,h,2,3,1,2,220,1097000
23,12/11/2016,Abbotsford,3067,-37.811,145.0067,2.5,u,2,2,2,1,0,700000
24,12/11/2016,Abbotsford,3067,-37.8085,144.9964,2.5,h,3,3,2,2,214,1350000
25,12/11/2016,Abbotsford,3067,-37.8078,144.9965,2.5,u,2,2,2,1,0,750000
28,13/08/2016,Abbotsford,3067,-37.8084,144.9973,2.5,h,2,2,1,1,195,1172500
29,14/05/2016,Abbotsford,3067,-37.8016,144.9988,2.5,u,1,1,1,1,0,441000
30,15/10/2016,Abbotsford,3067,-37.809,144.9976,2.5,h,2,2,1,2,238,1310000
32,16/07/2016,Abbotsford,3067,-37.8056,144.993,2.5,h,3,3,2,1,113,1200000
35,16/07/2016,Abbotsford,3067,-37.8021,144.9965,2.5,h,3,2,1,1,138,1176500
36,17/09/2016,Abbotsford,3067,-37.8022,144.9975,2.5,h,3,3,1,0,183,955000
37,17/09/2016,Abbotsford,3067,-37.8011,145.0004,2.5,h,2,2,1,1,150,890000
38,18/03/2017,Abbotsford,3067,-37.8073,144.9952,2.5,h,4,4,2,2,780,1330000
40,18/03/2017,Abbotsford,3067,-37.8093,144.9959,2.5,t,3,3,2,2,0,900000
41,18/03/2017,Abbotsford,3067,-37.8078,144.9965,2.5,u,3,3,2,2,4290,1090000
42,18/06/2016,Abbotsford,3067,-37.8015,144.9972,2.5,u,2,2,1,1,0,500000
43,18/06/2016,Abbotsford,3067,-37.8079,144.9977,2.5,h,2,2,2,1,124,1100000
44,19/11/2016,Abbotsford,3067,-37.808,144.994,2.5,h,2,2,1,0,147,1315000
48,22/08/2016,Abbotsford,3067,-37.8016,144.9988,2.5,u,1,1,1,1,0,426000
49,22/08/2016,Abbotsford,3067,-37.8017,145.0001,2.5,h,3,3,3,1,166,1447500
50,22/08/2016,Abbotsford,3067,-37.8078,144.9965,2.5,u,1,1,1,1,0,457000
51,22/08/2016,Abbotsford,3067,-37.8005,144.9952,2.5,h,2,2,2,2,98,1135000
53,24/09/2016,Abbotsford,3067,-37.7994,144.9965,2.5,h,4,4,3,1,0,1542000
